feature_name,glossary_concept
l2_treg_alr,Additive-log-ratio (alr) transformed relative abundance of regulatory T cell (Treg) among PBMCs.
l2_memory_cd8_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of memory CD8 T cell among PBMCs.
l2_gdt_alr,Additive-log-ratio (alr) transformed relative abundance of gamma-delta T cell among PBMCs.
l2_dn_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of double-negative T cell among PBMCs.
l3_isg_cd14_monocyte_alr,Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) CD14 monocyte among PBMCs.
l3_isg_cd16_monocyte_alr,Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) CD16 monocyte among PBMCs.
l3_isg_cd56dim_nk_cell_alr,Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) CD56dim NK cell among PBMCs.
l3_isg_cdc2_alr,Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) conventional dendritic cell 2 (cDC2) among PBMCs.
l3_isg_memory_cd4_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) memory CD4 T cell among PBMCs.
l3_isg_memory_cd8_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) memory CD8 T cell among PBMCs.
l3_isg_naive_cd4_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) naive CD4 T cell among PBMCs.
l1_nk_cell_alr,Additive-log-ratio (alr) transformed relative abundance of NK cell among PBMCs.
l3_adaptive_nk_cell_alr,Additive-log-ratio (alr) transformed relative abundance of adaptive (memory-like) NK cell among PBMCs.
l2_pdc_alr,Additive-log-ratio (alr) transformed relative abundance of plasmacytoid dendritic cell among PBMCs.
l3_cd14_cdc2_alr,Additive-log-ratio (alr) transformed relative abundance of CD14 conventional dendritic cell 2 (cDC2) among PBMCs.
l3_cd27_effector_b_cell_alt_alr,Additive-log-ratio (alr) transformed relative abundance of CD27+ effector B cell among PBMCs.
l3_klrf1_effector_vd1_gdt_alr,Additive-log-ratio (alr) transformed relative abundance of KLRF1+ effector Vδ1 gamma-delta T cell among PBMCs.
l3_klrf1_effector_vd1_gdt_alt_alr,Additive-log-ratio (alr) transformed relative abundance of KLRF1+ effector Vδ1 gamma-delta T cell among PBMCs.
l3_sox4_vd1_gdt_alr,Additive-log-ratio (alr) transformed relative abundance of SOX4+ (recent thymic emigrant marker) Vδ1 gamma-delta T cell among PBMCs.
l3_klrf1_gzmb_cd27_em_cd8_t_cell_alt_alr,Additive-log-ratio (alr) transformed relative abundance of KLRF1+ Granzyme B+ CD27+ effector memory CD8 T cell among PBMCs.
l3_cd95_memory_b_cell_alr,Additive-log-ratio (alr) transformed relative abundance of CD95(Fas)+ memory B cell among PBMCs.
l3_type_2_polarized_memory_b_cell_alr,Additive-log-ratio (alr) transformed relative abundance of type 2 polarized memory B cell among PBMCs.
l3_cm_cd8_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of central memory CD8 T cell among PBMCs.
l3_isg_naive_cd8_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) naive CD8 T cell among PBMCs.
l3_cd8aa,Relative abundance / frequency (untransformed) of CD8aa among PBMCs.
l3_proliferating_nk_cell,Relative abundance / frequency (untransformed) of proliferating NK cell among PBMCs.
l2_naive_cd8_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of naive CD8 T cell among PBMCs.
l3_sox4_naive_cd8_t_cell_alr,Additive-log-ratio (alr) transformed relative abundance of SOX4+ (recent thymic emigrant marker) naive CD8 T cell among PBMCs.
l3_cdc1,Relative abundance / frequency (untransformed) of conventional dendritic cell 1 (cDC1) among PBMCs.
l1_monocyte_alr,Additive-log-ratio (alr) transformed relative abundance of monocyte among PBMCs.
l1_progenitor_cell_alr,Additive-log-ratio (alr) transformed relative abundance of progenitor (stem/precursor) cell cell among PBMCs.
bc_lymphocyte_count,"Lymphocyte count -- T cells, B cells, NK cells; adaptive + innate immunity (CBC differential)."
bc_monocyte_count,Monocyte count -- precursors to macrophages/dendritic cells (CBC differential).
l3_intermediate_monocyte,Relative abundance / frequency (untransformed) of intermediate monocyte among PBMCs.
